,Time,Open,High,Low,Close,Volume
931,2021-06-07 02:00:00,35796.31,36900,33300,33552.79,77574.952573
932,2021-06-08 02:00:00,33556.96,34068.01,31000,33380.81,123251.189037
933,2021-06-09 02:00:00,33380.8,37534.79,32396.82,37388.05,136607.597517
934,2021-06-10 02:00:00,37388.05,38491,35782,36675.72,109527.284943
935,2021-06-11 02:00:00,36677.83,37680.4,35936.77,37331.98,78466.0053
936,2021-06-12 02:00:00,37331.98,37463.63,34600.36,35546.11,87717.54999
937,2021-06-13 02:00:00,35546.12,39380,34757,39020.57,86921.025555
938,2021-06-14 02:00:00,39020.56,41064.05,38730,40516.29,108522.391949
939,2021-06-15 02:00:00,40516.28,41330,39506.4,40144.04,80679.622838
940,2021-06-16 02:00:00,40143.8,40527.14,38116.01,38349.01,87771.976937
941,2021-06-17 02:00:00,38349,39559.88,37365,38092.97,79541.307119
942,2021-06-18 02:00:00,38092.97,38202.84,35129.29,35819.84,95228.042935
943,2021-06-19 02:00:00,35820.48,36457,34803.52,35483.72,68712.449461
944,2021-06-20 02:00:00,35483.72,36137.72,33336,35600.16,89878.17085
945,2021-06-21 02:00:00,35600.17,35750,31251.23,31608.93,168778.873159
946,2021-06-22 02:00:00,31614.12,33298.78,28805,32509.56,204208.179762
947,2021-06-23 02:00:00,32509.56,34881,31683,33678.07,126966.100563
948,2021-06-24 02:00:00,33675.07,35298,32286.57,34663.09,86625.80426
949,2021-06-25 02:00:00,34663.08,35500,31275,31584.45,116061.130356
950,2021-06-26 02:00:00,31576.09,32730,30151,32283.65,107820.375287
951,2021-06-27 02:00:00,32283.65,34749,31973.45,34700.34,96613.244211
952,2021-06-28 02:00:00,34702.49,35297.71,33862.72,34494.89,82222.267819
953,2021-06-29 02:00:00,34494.89,36600,34225.43,35911.73,90788.79622
954,2021-06-30 02:00:00,35911.72,36100,34017.55,35045,77152.197634
955,2021-07-01 02:00:00,35045,35057.57,32711,33504.69,71708.266112
956,2021-07-02 02:00:00,33502.33,33977.04,32699,33786.55,56172.181378
957,2021-07-03 02:00:00,33786.54,34945.61,33316.73,34669.13,43044.578641
958,2021-07-04 02:00:00,34669.12,35967.85,34357.15,35286.51,43703.475789
959,2021-07-05 02:00:00,35288.13,35293.78,33125.55,33690.14,64123.874245
960,2021-07-06 02:00:00,33690.15,35118.88,33532,34220.01,58210.596349
961,2021-07-07 02:00:00,34220.02,35059.09,33777.77,33862.12,53807.521675
962,2021-07-08 02:00:00,33862.11,33929.64,32077,32875.71,70136.48032
963,2021-07-09 02:00:00,32875.71,34100,32261.07,33815.81,47153.939899
964,2021-07-10 02:00:00,33815.81,34262,33004.78,33502.87,34761.175468
965,2021-07-11 02:00:00,33502.87,34666,33306.47,34258.99,31572.647448
966,2021-07-12 02:00:00,34259,34678.43,32658.34,33086.63,48181.403762
967,2021-07-13 02:00:00,33086.94,33340,32202.25,32729.77,41126.361008
968,2021-07-14 02:00:00,32729.12,33114.03,31550,32820.02,46777.823484
969,2021-07-15 02:00:00,32820.03,33185.25,31133,31880,51639.576353
970,2021-07-16 02:00:00,31874.49,32249.18,31020,31383.87,48499.864154
971,2021-07-17 02:00:00,31383.86,31955.92,31164.31,31520.07,34012.242132
972,2021-07-18 02:00:00,31520.07,32435,31108.97,31778.56,35923.716186
973,2021-07-19 02:00:00,31778.57,31899,30407.44,30839.65,47340.468499
974,2021-07-20 02:00:00,30839.65,31063.07,29278,29790.35,61034.049017
975,2021-07-21 02:00:00,29790.34,32858,29482.61,32144.51,82796.265128
976,2021-07-22 02:00:00,32144.51,32591.35,31708,32287.83,46148.092433
977,2021-07-23 02:00:00,32287.58,33650,31924.32,33634.09,50112.863626
978,2021-07-24 02:00:00,33634.1,34500,33401.14,34258.14,47977.550138
979,2021-07-25 02:00:00,34261.51,35398,33851.12,35381.02,47852.928313
980,2021-07-26 02:00:00,35381.02,40550,35205.78,37237.6,152452.512724
